Spectrum File,Sample #,Microplastic number (P),Resolution (cm^{-1}),Number of scans,Dimensions of ATR (um),ATR pressure (ATR only),Likely substrate,FTIR Mode,Date,Notes,
903511_P11_reflectance_16cm_16scan_LA_25um.map,903511,11,16,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_16cm_2scan_LA_25um.map,903511,11,16,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_ATR_4cm_128scan_60umAPT_GeATR_MCT_10.SPA,903511,11,4,128,60x60,10,,ATR,<2021-05-26 Wed>,Not a plastic,
903511_P11_ATR_4cm_128scan_60umAPT_GeATR_MCT_30.SPA,903511,11,4,128,60x60,30,,ATR,<2021-05-26 Wed>,,
903511_P12_reflectance_4cm_128scan_LA_25um.map,903511,12,4,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_4cm_16scan_LA_25um.map,903511,11,4,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_4cm_2scan_LA_25um.map,903511,11,4,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_8cm_128scan_LA_25um.map,903511,11,8,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_8cm_16scan_LA_25um.map,903511,11,8,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_8cm_2scan_LA_25um.map,903511,11,8,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_16cm_128scan_LA_25um.map,903511,11,16,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_16cm_16scan_LA_25um.map,903511,11,16,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_reflectance_16cm_2scan_LA_25um.map,903511,11,16,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P12_ATR_4cm_128scan_60umAPT_GeATR_MCT_10.SPA,903511,11,4,128,60x60,10,,ATR,<2021-05-26 Wed>,Not a plastic,
903511_P12_ATR_4cm_128scan_60umAPT_GeATR_MCT_30.SPA,903511,11,4,128,60x60,30,,ATR,<2021-05-26 Wed>,,
903511_P13_reflectance_4cm_128scan_LA_25um.map,903511,13,4,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_4cm_16scan_LA_25um.map,903511,13,4,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_4cm_2scan_LA_25um.map,903511,13,4,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_8cm_128scan_LA_25um.map,903511,13,8,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_8cm_16scan_LA_25um.map,903511,13,8,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_8cm_2scan_LA_25um.map,903511,13,8,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_16cm_128scan_LA_25um.map,903511,13,16,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_16cm_16scan_LA_25um.map,903511,13,16,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_16cm_2scan_LA_25um.map,903511,13,16,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P13_reflectance_4cm_128scan_LA_25um_Back_FP.map,903511,13,4,128,,,,reflectance,<2021-06-22 Tue>,Using Filter Paper (FP) background - not Al.,
903511_P13_ATR_4cm_128scan_30umAPT_GeATR_MCT_10.SPA,903511,13,4,128,30x30,10,,ATR,<2021-06-22 Tue>,No plastic resolved.,
903511_P13_ATR_4cm_128scan_30umAPT_GeATR_MCT_30.SPA,903511,13,4,128,30x30,30,,ATR,<2021-06-22 Tue>,,
903511_P14_reflectance_4cm_128scan_LA_25um.map,903511,14,4,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_4cm_16scan_LA_25um.map,903511,14,4,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_4cm_2scan_LA_25um.map,903511,14,4,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_8cm_128scan_LA_25um.map,903511,14,8,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_8cm_16scan_LA_25um.map,903511,14,8,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_8cm_2scan_LA_25um.map,903511,14,8,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_16cm_128scan_LA_25um.map,903511,14,16,128,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_16cm_16scan_LA_25um.map,903511,14,16,16,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_16cm_2scan_LA_25um.map,903511,14,16,2,,,,reflectance,<2021-06-22 Tue>,,
903511_P14_reflectance_4cm_128scan_LA_25um_Back_FP.map,903511,14,4,128,,,,reflectance,<2021-06-22 Tue>,Using Filter Paper (FP) background - not Al. Spec different to first P13_Back_FP,
903511_P14_ATR_4cm_128scan_40umAPT_GeATR_MCT_10.SPA,903511,14,4,128,40x40,10,,ATR,<2021-06-22 Tue>,No plastic resolved.,
903511_P14_ATR_4cm_128scan_40umAPT_GeATR_MCT_30.SPA,903511,14,4,128,40x40,30,,ATR,<2021-06-22 Tue>,No plastic resolved.,
